"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Deaths,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Melanoma of the Skin","25010","New Mexico","35","2022","2022","Male","M","Non-Hispanic","2186-5",24,168950,15.1,9.6,22.6,3.1,14.2,9.1,21.1,2.9
,"Melanoma of the Skin","25010","New Mexico","35","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New Mexico","35","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New Mexico","35","2023","2023","Male","M","Non-Hispanic","2186-5",32,170951,20.1,13.6,28.4,3.6,18.7,12.8,26.4,3.3
,"Melanoma of the Skin","25010","New Mexico","35","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New York","36","2018","2018","Female","F","Non-Hispanic","2186-5",133,2178311,6.0,5.0,7.1,0.5,6.1,5.1,7.2,0.5
,"Melanoma of the Skin","25010","New York","36","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New York","36","2018","2018","Male","M","Non-Hispanic","2186-5",189,1755786,11.8,10.2,13.7,0.9,10.8,9.3,12.4,0.8
,"Melanoma of the Skin","25010","New York","36","2019","2019","Female","F","Non-Hispanic","2186-5",107,2213463,4.8,3.9,5.8,0.5,4.8,4.0,5.8,0.5
,"Melanoma of the Skin","25010","New York","36","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New York","36","2019","2019","Male","M","Non-Hispanic","2186-5",171,1791395,10.7,9.1,12.4,0.8,9.5,8.2,11.1,0.7
,"Melanoma of the Skin","25010","New York","36","2020","2020","Female","F","Non-Hispanic","2186-5",109,2245639,4.9,4.0,5.9,0.5,4.9,4.0,5.9,0.5
,"Melanoma of the Skin","25010","New York","36","2020","2020","Male","M","Non-Hispanic","2186-5",184,1865707,11.7,10.0,13.5,0.9,9.9,8.5,11.4,0.7
,"Melanoma of the Skin","25010","New York","36","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New York","36","2021","2021","Female","F","Non-Hispanic","2186-5",115,2278705,5.1,4.2,6.1,0.5,5.0,4.2,6.1,0.5
,"Melanoma of the Skin","25010","New York","36","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New York","36","2021","2021","Male","M","Non-Hispanic","2186-5",203,1898311,12.5,10.8,14.4,0.9,10.7,9.3,12.3,0.8
,"Melanoma of the Skin","25010","New York","36","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","New York","36","2022","2022","Female","F","Non-Hispanic","2186-5",107,2305998,4.6,3.7,5.5,0.4,4.6,3.8,5.6,0.4
,"Melanoma of the Skin","25010","New York","36","2022","2022","Male","M","Non-Hispanic","2186-5",185,1926905,10.8,9.3,12.5,0.8,9.6,8.3,11.1,0.7
,"Melanoma of the Skin","25010","New York","36","2023","2023","Female","F","Non-Hispanic","2186-5",108,2338227,4.6,3.8,5.6,0.4,4.6,3.8,5.6,0.4
,"Melanoma of the Skin","25010","New York","36","2023","2023","Male","M","Non-Hispanic","2186-5",186,1960996,10.9,9.4,12.6,0.8,9.5,8.2,11.0,0.7
,"Melanoma of the Skin","25010","North Carolina","37","2018","2018","Female","F","Non-Hispanic","2186-5",77,1262521,6.4,5.1,8.1,0.7,6.1,4.8,7.6,0.7
,"Melanoma of the Skin","25010","North Carolina","37","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2018","2018","Male","M","Non-Hispanic","2186-5",115,1015223,13.6,11.2,16.4,1.3,11.3,9.4,13.6,1.1
,"Melanoma of the Skin","25010","North Carolina","37","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2019","2019","Female","F","Hispanic","2135-2",0,33626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Carolina","37","2019","2019","Female","F","Non-Hispanic","2186-5",82,1300463,6.5,5.2,8.1,0.7,6.3,5.0,7.8,0.7
,"Melanoma of the Skin","25010","North Carolina","37","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2019","2019","Male","M","Non-Hispanic","2186-5",151,1045916,17.0,14.4,20.0,1.4,14.4,12.2,16.9,1.2
,"Melanoma of the Skin","25010","North Carolina","37","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2020","2020","Female","F","Hispanic","2135-2",0,38561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Carolina","37","2020","2020","Female","F","Non-Hispanic","2186-5",76,1269923,6.3,5.0,7.9,0.7,6.0,4.7,7.5,0.7
,"Melanoma of the Skin","25010","North Carolina","37","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2020","2020","Male","M","Non-Hispanic","2186-5",136,1044730,15.1,12.6,18.0,1.3,13.0,10.9,15.4,1.1
,"Melanoma of the Skin","25010","North Carolina","37","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2021","2021","Female","F","Non-Hispanic","2186-5",63,1299729,5.3,4.0,6.7,0.7,4.8,3.7,6.2,0.6
,"Melanoma of the Skin","25010","North Carolina","37","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2021","2021","Male","M","Non-Hispanic","2186-5",129,1070523,15.0,12.4,17.9,1.4,12.1,10.1,14.3,1.1
,"Melanoma of the Skin","25010","North Carolina","37","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2022","2022","Female","F","Hispanic","2135-2",0,45805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Carolina","37","2022","2022","Female","F","Non-Hispanic","2186-5",71,1334309,5.5,4.3,7.0,0.7,5.3,4.2,6.7,0.6
,"Melanoma of the Skin","25010","North Carolina","37","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2022","2022","Male","M","Non-Hispanic","2186-5",152,1099597,16.1,13.6,19.0,1.4,13.8,11.7,16.2,1.1
,"Melanoma of the Skin","25010","North Carolina","37","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2023","2023","Female","F","Hispanic","2135-2",0,50133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Carolina","37","2023","2023","Female","F","Non-Hispanic","2186-5",107,1369512,8.2,6.7,10.0,0.8,7.8,6.4,9.4,0.8
,"Melanoma of the Skin","25010","North Carolina","37","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Carolina","37","2023","2023","Male","M","Non-Hispanic","2186-5",174,1130453,18.1,15.5,21.1,1.4,15.4,13.2,17.9,1.2
,"Melanoma of the Skin","25010","North Carolina","37","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2018","2018","Female","F","Hispanic","2135-2",0,608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2018","2018","Male","M","Hispanic","2135-2",0,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2019","2019","Female","F","Hispanic","2135-2",0,652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2019","2019","Male","M","Hispanic","2135-2",0,670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2020","2020","Female","F","Hispanic","2135-2",0,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2020","2020","Male","M","Hispanic","2135-2",0,768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2021","2021","Female","F","Hispanic","2135-2",0,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2021","2021","Male","M","Hispanic","2135-2",0,816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2022","2022","Female","F","Hispanic","2135-2",0,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2022","2022","Male","M","Hispanic","2135-2",0,899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2023","2023","Female","F","Hispanic","2135-2",0,931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","North Dakota","38","2023","2023","Male","M","Hispanic","2135-2",0,966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","North Dakota","38","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2018","2018","Female","F","Hispanic","2135-2",0,21490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2018","2018","Female","F","Non-Hispanic","2186-5",88,1503408,5.8,4.6,7.1,0.6,5.9,4.7,7.2,0.6
,"Melanoma of the Skin","25010","Ohio","39","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2018","2018","Male","M","Non-Hispanic","2186-5",190,1235617,17.9,15.4,20.6,1.3,15.4,13.3,17.7,1.1
,"Melanoma of the Skin","25010","Ohio","39","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2019","2019","Female","F","Hispanic","2135-2",0,22779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2019","2019","Female","F","Non-Hispanic","2186-5",99,1533962,6.4,5.2,7.8,0.7,6.5,5.2,7.9,0.6
,"Melanoma of the Skin","25010","Ohio","39","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2019","2019","Male","M","Hispanic","2135-2",0,19595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2019","2019","Male","M","Non-Hispanic","2186-5",178,1263815,16.0,13.7,18.6,1.2,14.1,12.1,16.3,1.1
,"Melanoma of the Skin","25010","Ohio","39","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2020","2020","Female","F","Hispanic","2135-2",0,25371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2020","2020","Female","F","Non-Hispanic","2186-5",90,1526751,6.0,4.8,7.4,0.6,5.9,4.7,7.2,0.6
,"Melanoma of the Skin","25010","Ohio","39","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2020","2020","Male","M","Non-Hispanic","2186-5",214,1290164,19.5,16.9,22.3,1.4,16.6,14.4,19.0,1.1
,"Melanoma of the Skin","25010","Ohio","39","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2021","2021","Female","F","Hispanic","2135-2",0,26746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2021","2021","Female","F","Non-Hispanic","2186-5",121,1547796,8.3,6.9,9.9,0.8,7.8,6.5,9.3,0.7
,"Melanoma of the Skin","25010","Ohio","39","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2021","2021","Male","M","Non-Hispanic","2186-5",176,1308354,15.2,12.9,17.7,1.2,13.5,11.5,15.6,1.0
,"Melanoma of the Skin","25010","Ohio","39","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2022","2022","Female","F","Hispanic","2135-2",0,28263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2022","2022","Female","F","Non-Hispanic","2186-5",93,1566491,6.2,5.0,7.6,0.6,5.9,4.8,7.3,0.6
,"Melanoma of the Skin","25010","Ohio","39","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2022","2022","Male","M","Non-Hispanic","2186-5",186,1324583,16.7,14.3,19.3,1.3,14.0,12.1,16.2,1.0
,"Melanoma of the Skin","25010","Ohio","39","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2023","2023","Female","F","Hispanic","2135-2",0,29938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Ohio","39","2023","2023","Female","F","Non-Hispanic","2186-5",90,1590371,5.8,4.7,7.2,0.6,5.7,4.6,7.0,0.6
,"Melanoma of the Skin","25010","Ohio","39","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Ohio","39","2023","2023","Male","M","Non-Hispanic","2186-5",202,1346496,17.8,15.3,20.5,1.3,15.0,13.0,17.2,1.1
,"Melanoma of the Skin","25010","Ohio","39","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2018","2018","Female","F","Hispanic","2135-2",0,13822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2018","2018","Female","F","Non-Hispanic","2186-5",28,453063,6.3,4.2,9.2,1.2,6.2,4.1,8.9,1.2
,"Melanoma of the Skin","25010","Oklahoma","40","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2018","2018","Male","M","Hispanic","2135-2",0,13632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2018","2018","Male","M","Non-Hispanic","2186-5",63,376677,18.7,14.3,24.0,2.4,16.7,12.9,21.4,2.1
,"Melanoma of the Skin","25010","Oklahoma","40","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2019","2019","Male","M","Non-Hispanic","2186-5",55,384634,15.9,11.9,20.8,2.2,14.3,10.8,18.6,1.9
,"Melanoma of the Skin","25010","Oklahoma","40","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2020","2020","Female","F","Non-Hispanic","2186-5",19,452683,4.5,2.7,7.1,1.0,4.2,2.5,6.6,1.0
,"Melanoma of the Skin","25010","Oklahoma","40","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2020","2020","Male","M","Hispanic","2135-2",0,16737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2020","2020","Male","M","Non-Hispanic","2186-5",53,384881,16.7,12.4,21.9,2.3,13.8,10.3,18.0,1.9
,"Melanoma of the Skin","25010","Oklahoma","40","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2021","2021","Female","F","Hispanic","2135-2",0,17814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2021","2021","Female","F","Non-Hispanic","2186-5",41,459416,9.0,6.5,12.3,1.4,8.9,6.4,12.1,1.4
,"Melanoma of the Skin","25010","Oklahoma","40","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2021","2021","Male","M","Hispanic","2135-2",0,17782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2021","2021","Male","M","Non-Hispanic","2186-5",62,390013,17.5,13.3,22.6,2.3,15.9,12.2,20.4,2.0
,"Melanoma of the Skin","25010","Oklahoma","40","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2022","2022","Female","F","Non-Hispanic","2186-5",31,466760,6.9,4.7,9.8,1.2,6.6,4.5,9.4,1.2
,"Melanoma of the Skin","25010","Oklahoma","40","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2022","2022","Male","M","Hispanic","2135-2",0,18986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2022","2022","Male","M","Non-Hispanic","2186-5",62,395674,18.5,14.1,23.8,2.4,15.7,12.0,20.1,2.0
,"Melanoma of the Skin","25010","Oklahoma","40","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2023","2023","Female","F","Hispanic","2135-2",0,20708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2023","2023","Female","F","Non-Hispanic","2186-5",32,475064,6.9,4.7,9.8,1.2,6.7,4.6,9.5,1.2
,"Melanoma of the Skin","25010","Oklahoma","40","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oklahoma","40","2023","2023","Male","M","Hispanic","2135-2",0,20412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oklahoma","40","2023","2023","Male","M","Non-Hispanic","2186-5",67,402727,18.7,14.4,23.8,2.3,16.6,12.9,21.1,2.0
,"Melanoma of the Skin","25010","Oklahoma","40","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oregon","41","2018","2018","Female","F","Hispanic","2135-2",0,20365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oregon","41","2018","2018","Female","F","Non-Hispanic","2186-5",24,522329,4.7,3.0,7.0,1.0,4.6,2.9,6.8,0.9
,"Melanoma of the Skin","25010","Oregon","41","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oregon","41","2018","2018","Male","M","Hispanic","2135-2",0,19071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Melanoma of the Skin","25010","Oregon","41","2018","2018","Male","M","Non-Hispanic","2186-5",65,449325,16.4,12.6,21.1,2.1,14.5,11.2,18.4,1.8
,"Melanoma of the Skin","25010","Oregon","41","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Melanoma of the Skin","25010","Oregon","41","2019","2019","Female","F","Hispanic","2135-2",0,21893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
